python_yn,r_yn,spark_yn,mongodb_yn,tableau_yn,power_bi_yn,hadoop_yn,sql_yn,excel_yn,java_yn,tensorflow_yn,keras_yn,pytorch_yn,hadoop_yn2,communication_skills,analytical_skills,problem_solving,creativity,teamwork,leadership,gpa,experience_years,career_recommendation
0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2,1,1,1,1,3.04,1,Financial Analyst
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,1,1,4,2.6,1,Supply Chain / Logistics Manager
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1,1,1,2.2,1,Data Scientist
1,1,0,0,1,1,0,1,0,1,0,0,0,0,4,3,2,4,1,4,3.44,0,Web Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2.4,0,Digital Marketer
0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,4,1,1,2.96,1,Oil & Gas Professional
1,0,0,0,1,1,0,1,0,0,0,0,0,0,3,4,3,4,1,2,3.31,0,Web Developer
0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,4,3,1,1,1,3,0,Data Scientist
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,2,1,2.32,0,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,1,2.84,1,Mobile Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,2,2,0,Web Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,3,3.04,1,Cybersecurity Analyst
1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3,2,1,1,1,2.92,0,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,1,4,2.52,0,Data Scientist
1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,1,3,3.53,1,Software Developer
1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,1,1,2.55,1,Software Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,2,1,2.84,1,Mobile Developer
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,3,3.04,1,Cybersecurity Analyst
0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,1,2,1,2.81,1,Database Administrator
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,3,3.04,1,Cybersecurity Analyst
1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,3,2,1,1,3,2.58,0,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,1,2,2.74,1,IoT Engineer
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,4,2,3,1,1,2.74,1,Data Scientist
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,3,2.8,1,Software Developer
